ID;Warehouse_block;Mode_of_Shipment;Customer_care_calls;Customer_rating;Cost_of_the_Product;Prior_purchases;Product_importance;Gender;Discount_offered;Weight_in_gms;Reached_on_Time
2450;C;Road;4;4;161;3;high;F;59;1165;yes
2451;D;Ship;5;3;250;4;medium;F;4;1111;yes
2452;F;Flight;5;1;245;5;low;F;7;1092;no
2453;B;Ship;2;5;132;3;low;M;18;1759;yes
2454;D;Ship;3;3;180;3;medium;M;8;5953;yes
2455;C;Road;5;3;265;5;medium;F;6;1929;no
2456;D;Flight;5;4;251;4;low;M;8;4190;yes
2457;F;Ship;4;4;181;4;low;M;4;5767;no
2458;F;Ship;5;1;262;5;low;F;5;1916;yes
2459;D;Ship;2;5;155;3;low;M;23;1602;yes
2460;B;Road;3;4;257;3;low;F;4;4883;no
2461;B;Ship;3;3;139;2;low;M;9;1177;yes
2462;F;Road;5;3;232;7;medium;M;6;5285;yes
2463;D;Road;7;1;269;5;medium;F;5;1402;no
2464;F;Ship;5;2;243;3;low;M;4;5415;no
2465;C;Ship;4;3;247;10;high;M;10;5644;no
2466;C;Flight;5;1;287;4;low;F;4;1579;no
2467;C;Road;4;2;254;4;low;F;4;5137;yes
2468;C;Ship;4;4;232;5;medium;M;2;1386;no
2469;A;Ship;5;5;194;3;low;M;47;2256;yes
2470;A;Ship;4;4;254;3;low;M;7;5637;no
2471;B;Ship;5;1;249;3;medium;F;5;4392;no
2472;C;Ship;3;3;139;4;high;M;17;1137;yes
2473;F;;4;5;245;5;low;M;8;1841;no
2474;F;Road;5;1;238;3;high;M;2;5369;yes
2475;F;Flight;4;2;241;2;low;M;17;3844;yes
2476;B;Ship;3;5;248;2;high;M;3;5287;yes
2477;F;Ship;5;1;254;5;medium;M;10;1020;no
2478;F;Ship;4;1;240;4;low;M;10;5965;yes
2479;F;Ship;3;2;156;3;medium;M;2;4681;no
2480;A;Ship;4;1;260;2;medium;F;2;4529;no
2481;F;Ship;4;2;201;2;medium;M;6;5729;no
2482;C;Ship;3;3;275;4;medium;M;6;4687;yes
2483;A;Flight;5;5;272;2;low;M;1;4883;yes
2484;B;Ship;3;1;229;2;medium;F;12;3111;yes
2485;D;Ship;5;3;223;3;low;F;2;4671;yes
2486;F;Ship;5;3;170;3;medium;M;6;5226;no
2487;A;Road;3;3;220;3;low;M;7;5323;yes
2488;F;Ship;5;5;195;4;low;F;1;4393;yes
2489;A;Road;3;1;200;2;low;F;5;4884;no
2490;D;Road;5;2;157;2;low;M;58;1654;yes
2491;C;Ship;3;3;141;2;low;M;2;5923;no
2492;B;Flight;5;1;247;5;low;M;10;1562;yes
2493;D;Ship;3;3;140;3;medium;M;51;1046;yes
2494;F;Flight;3;3;201;3;low;M;9;5895;yes
2495;B;Road;3;5;181;3;medium;M;9;4191;no
2496;B;Ship;5;3;230;3;medium;F;3;2923;yes
2497;D;Ship;4;3;228;5;low;F;9;1044;no
2498;A;Ship;5;2;215;6;medium;F;5;5195;yes
2499;D;Ship;3;2;201;3;high;M;6;5165;yes
2500;D;Flight;3;2;135;7;medium;M;8;4901;no
2501;B;Ship;4;4;159;3;low;M;9;4265;yes
2502;C;Ship;5;3;238;5;high;M;10;1841;yes
2503;A;Ship;6;3;305;4;low;M;3;1276;no
2504;C;Road;3;5;242;2;low;F;6;5635;no
2505;B;Ship;5;1;167;2;low;M;62;1884;yes
2506;C;Ship;5;3;184;5;low;M;3;5219;yes
2507;F;Ship;2;4;169;4;low;F;3;4968;yes
2508;F;Ship;3;2;251;4;high;F;7;4038;no
2509;D;Flight;6;4;305;4;low;F;7;1172;yes
2510;F;Ship;6;4;152;3;low;M;10;4376;yes
2511;F;Ship;2;4;181;6;medium;F;16;3605;yes
2512;F;Ship;5;2;244;6;low;M;5;1702;yes
2513;F;Ship;5;1;190;2;low;M;9;5226;no
2514;F;Ship;2;4;226;3;low;M;9;4098;yes
2515;B;Flight;3;2;269;2;medium;F;1;4978;no
2516;C;Ship;2;3;248;4;high;F;2;4521;no
2517;F;Ship;5;4;241;2;medium;F;7;4413;no
2518;A;Ship;4;2;202;3;medium;M;7;5821;no
2519;B;Ship;4;5;194;8;medium;F;9;4843;yes
2520;F;Ship;5;4;224;3;low;F;34;2627;yes
2521;A;Ship;7;5;192;3;low;M;46;1550;yes
2522;F;Road;3;5;139;3;low;F;1;4060;yes
2523;B;Flight;3;5;224;3;medium;F;20;2937;yes
2524;D;Flight;4;1;207;5;low;M;48;2399;yes
2525;D;Ship;3;1;192;3;medium;M;35;2258;yes
2526;F;Ship;3;1;249;2;medium;M;9;5987;yes
2527;A;Ship;4;3;256;3;high;F;1;4323;no
2528;A;Flight;3;4;97;4;low;M;32;1238;yes
2529;F;Flight;4;5;194;2;high;M;44;2651;yes
2530;A;Ship;3;3;224;4;medium;M;10;4147;no
2531;C;Ship;6;4;224;4;low;F;6;4493;no
2532;B;Ship;3;4;172;3;low;M;32;1943;yes
2533;D;Ship;3;2;189;3;medium;M;2;4718;no
2534;C;Road;4;3;134;3;low;M;51;1965;yes
2535;D;Ship;4;5;273;3;medium;M;2;4374;no
2536;C;Ship;5;2;270;3;medium;F;5;5950;yes
2537;B;Ship;6;3;250;4;low;M;9;1618;no
2538;A;Road;4;5;168;4;medium;M;5;5735;yes
2539;B;Ship;3;1;151;2;low;F;4;1748;yes
2540;D;Ship;3;4;265;8;low;F;35;3299;yes
2541;A;Ship;4;3;139;3;low;M;64;1814;yes
2542;F;Ship;3;2;143;3;low;F;58;1785;yes
2543;C;Ship;4;3;269;3;low;F;7;2538;yes
2544;B;Road;3;1;229;3;medium;M;2;3963;yes
2545;D;Flight;3;1;179;3;high;M;5;5898;yes
2546;C;Flight;6;3;306;4;low;F;5;1490;yes
2547;D;Flight;4;3;192;4;high;M;7;4949;no
2548;B;Ship;6;2;309;4;medium;F;8;1930;no
2549;D;Ship;5;4;180;2;low;F;9;5208;no
2550;D;Ship;3;2;164;2;medium;M;3;4442;yes
2551;C;Ship;3;1;150;2;low;F;6;5355;no
2552;F;Ship;5;5;269;5;low;F;6;1630;no
2553;D;Ship;4;5;216;4;medium;F;1;4458;yes
2554;A;Ship;4;4;134;5;medium;M;2;5865;yes
2555;B;Ship;3;3;165;2;low;M;1;5661;no
2556;C;Flight;5;5;246;5;low;F;6;1300;no
2557;C;Road;3;1;182;3;low;M;2;5760;no
2558;A;Road;4;5;204;3;medium;F;4;5476;no
2559;A;Ship;3;4;187;2;medium;M;4;5139;yes
2560;F;Ship;2;5;248;6;low;F;62;2750;yes
2561;F;Flight;4;5;275;6;medium;M;10;1400;yes
2562;A;Ship;7;5;296;4;low;F;2;1823;yes
2563;D;Ship;3;5;193;3;medium;M;2;4784;no
2564;F;Ship;3;5;142;2;low;F;8;4914;no
2565;B;Ship;3;1;231;3;medium;M;9;5148;yes
2566;A;Ship;4;1;265;3;low;F;4;4249;no
2567;B;Flight;4;3;225;5;low;M;1;1755;no
2568;A;Flight;5;4;175;4;low;M;4;4505;no
2569;F;Flight;4;5;249;3;low;F;7;5509;no
2570;C;Road;3;1;162;4;medium;F;4;5683;no
2571;F;Ship;5;1;253;2;medium;M;3;5159;yes
2572;D;Flight;4;1;249;5;low;M;9;4396;no
2573;F;Road;6;5;244;3;low;M;9;5634;no
2574;F;Flight;3;1;244;3;medium;M;6;4062;yes
2575;F;Ship;6;2;279;4;low;M;1;1150;yes
2576;B;Flight;4;2;266;3;medium;M;4;4197;yes
2577;D;Road;6;2;251;4;medium;F;9;1322;yes
2578;D;Ship;4;1;253;7;medium;M;37;2955;yes
2579;D;Ship;2;5;144;3;medium;M;61;1313;yes
2580;A;Ship;5;2;145;3;medium;M;2;4836;no
2581;A;Ship;3;1;238;3;medium;F;5;4399;yes
2582;C;Ship;7;4;290;4;low;F;10;1886;yes
2583;A;Ship;6;5;285;7;medium;M;9;4112;no
2584;C;Flight;7;3;310;4;medium;F;8;1497;no
2585;F;Ship;5;2;151;6;medium;M;12;1920;yes
2586;A;Ship;3;5;143;3;low;F;10;5021;no
2587;C;Ship;4;2;210;3;low;M;8;5672;yes
2588;D;Ship;4;3;269;2;medium;M;2;4158;no
2589;A;Ship;3;2;177;3;medium;M;8;5006;yes
2590;A;Flight;6;2;293;5;low;M;2;1494;no
2591;F;Ship;3;2;203;2;medium;F;39;3845;yes
2592;D;Ship;3;1;155;3;medium;F;27;1022;yes
2593;B;Ship;3;2;211;4;high;M;1;5831;yes
2594;F;Road;3;2;253;3;low;F;7;4915;no
2595;F;Flight;3;1;236;2;medium;F;8;5591;no
2596;F;Ship;4;2;179;4;low;M;1;1063;yes
2597;A;Ship;4;1;177;2;medium;M;6;5566;no
2598;F;Ship;3;1;162;3;low;M;7;5073;no
2599;C;Flight;3;1;263;3;medium;M;4;4616;no
2600;F;Flight;4;4;165;6;low;F;5;4640;yes
2601;F;Ship;5;4;133;3;low;M;9;1051;yes
2602;F;Ship;3;5;167;2;low;F;2;4141;no
2603;A;Ship;3;4;150;2;low;M;1;4742;no
2604;F;Flight;3;4;166;4;low;F;1;5533;yes
2605;C;Road;4;3;153;4;low;M;4;5161;no
2606;F;Flight;4;3;148;5;medium;M;2;4065;yes
2607;C;Ship;3;4;180;3;low;M;2;5659;yes
2608;A;Ship;3;2;141;4;low;M;9;1909;yes
2609;C;Ship;6;5;249;4;low;F;8;1274;no
2610;C;Ship;3;2;208;2;low;F;6;5344;no
2611;B;Ship;4;1;177;4;medium;F;33;1049;yes
2612;D;Ship;4;5;183;2;medium;F;8;4422;no
2613;C;Ship;2;2;112;4;medium;M;56;1138;yes
2614;D;Flight;3;1;184;2;low;F;31;3191;yes
2615;F;Road;3;3;236;2;medium;F;58;3360;yes
2616;A;Flight;5;3;175;3;low;M;7;4833;yes
2617;B;Ship;3;4;154;2;medium;F;43;1542;yes
2618;F;Ship;4;3;129;6;medium;F;5;5626;no
2619;D;Ship;3;4;211;3;low;M;56;3654;yes
2620;C;Ship;6;1;105;5;low;F;57;1784;yes
2621;B;Flight;5;5;221;5;low;M;8;1718;no
2622;A;Ship;5;4;200;3;medium;M;24;2078;yes
2623;F;Ship;2;1;229;4;low;M;6;3757;yes
2624;A;Flight;5;4;194;5;low;M;8;4038;yes
2625;F;Ship;5;1;234;5;medium;F;9;1932;yes
2626;B;Road;3;1;207;3;low;F;5;4643;yes
2627;D;Ship;3;1;159;3;low;M;10;4784;yes
2628;B;Road;3;1;175;2;low;M;42;1668;yes
2629;A;Ship;4;2;210;3;low;F;9;4163;no
2630;F;Ship;5;5;185;3;low;M;5;4520;yes
2631;B;Ship;3;3;246;3;medium;F;45;3945;yes
2632;C;Ship;4;3;167;3;medium;M;5;5791;no
2633;B;Ship;6;1;250;5;low;F;53;3352;yes
2634;F;Ship;3;4;242;2;low;F;10;5559;yes
2635;F;Ship;3;3;163;3;medium;M;9;1257;yes
2636;C;Road;3;4;196;2;medium;F;5;4342;yes
2637;D;Ship;3;2;233;3;medium;M;7;5838;no
2638;C;Ship;4;1;149;3;medium;F;8;1136;no
2639;A;Flight;4;2;216;3;low;M;4;4309;yes
2640;C;Ship;3;3;205;2;medium;F;54;2427;yes
2641;D;Ship;5;5;189;5;low;M;3;5254;yes
2642;B;Ship;4;5;275;5;low;F;6;4450;no
2643;A;Flight;5;2;240;2;medium;M;4;4447;yes
2644;B;Flight;4;5;157;3;medium;M;28;1557;yes
2645;F;Ship;5;1;180;2;low;M;35;1204;yes
2646;F;Ship;3;5;174;2;low;F;4;5692;no
2647;D;Flight;3;4;156;2;low;M;8;1145;yes
2648;F;Ship;4;1;134;3;medium;F;37;1818;yes
2649;C;Flight;4;3;219;5;low;F;8;1702;yes
2650;B;Ship;5;3;201;2;low;M;4;3757;yes
2651;C;Flight;5;2;265;4;low;F;7;4883;no
2652;A;Road;5;3;245;5;low;M;8;1471;no
2653;F;Ship;3;4;156;3;medium;M;6;5255;yes
2654;F;Ship;3;2;102;4;medium;M;57;1220;yes
2655;D;Road;4;5;225;4;medium;M;5;4622;no
2656;C;Road;4;5;244;3;low;F;7;4172;no
2657;D;Ship;4;5;248;4;low;F;2;4427;no
2658;C;Flight;3;4;196;3;low;M;47;2447;yes
2659;B;Ship;3;1;112;2;high;M;22;1846;yes
2660;B;Ship;6;5;301;4;low;F;4;1707;yes
2661;F;Ship;4;3;229;3;low;F;3;5027;no
2662;F;Ship;2;5;189;3;low;F;5;5320;no
2663;B;Ship;4;3;173;2;low;F;10;1179;yes
2664;C;Road;4;2;253;5;medium;F;9;1438;no
2665;F;Ship;5;1;270;5;medium;M;10;1397;no
2666;B;Road;3;2;268;2;low;M;20;2731;yes
2667;F;Ship;3;4;133;8;medium;F;10;5439;yes
2668;D;Ship;4;2;262;3;low;M;2;4015;no
2669;A;Flight;4;2;258;5;low;F;8;1878;no
2670;A;Ship;5;1;246;2;low;F;4;5461;no
2671;;Flight;6;4;224;5;medium;M;10;5602;no
2672;C;Ship;3;5;144;2;medium;M;6;5983;no
2673;D;Ship;5;4;196;2;medium;M;2;5515;no
2674;A;Ship;4;2;210;3;medium;F;10;5354;no
2675;D;Flight;3;1;214;2;low;F;50;2720;yes
2676;D;Ship;3;5;238;2;medium;F;34;2726;yes
2677;F;Road;3;4;191;5;medium;F;4;4243;yes
2678;F;Ship;6;3;144;7;high;F;8;5646;yes
2679;C;Ship;4;3;211;4;medium;M;40;3106;yes
2680;F;Ship;4;3;138;2;medium;M;9;5297;yes
2681;F;Flight;3;5;258;3;low;M;21;3446;yes
2682;C;Ship;4;2;151;3;medium;M;10;5698;no
2683;A;Flight;3;3;213;6;low;F;17;2424;yes
2684;A;Ship;4;1;141;2;low;M;10;1340;yes
2685;D;Ship;3;5;243;3;medium;F;5;4383;no
2686;F;Ship;7;5;243;5;medium;M;28;1100;yes
2687;F;Ship;5;1;137;3;medium;F;10;4641;no
2688;C;Flight;3;5;182;3;medium;M;34;3595;yes
2689;C;Flight;5;2;172;4;high;F;61;1161;yes
2690;B;Ship;5;4;244;3;medium;F;3;4015;no
2691;A;Flight;6;1;274;5;low;F;8;4292;yes
2692;F;Road;4;5;239;5;low;M;7;1380;no
2693;B;Road;3;2;150;3;medium;M;29;1354;yes
2694;F;Ship;4;3;248;3;low;M;5;4781;yes
2695;B;Flight;4;1;154;4;medium;M;1;5480;no
2696;F;Ship;2;2;177;4;low;M;8;5878;yes
2697;C;Road;6;2;191;6;medium;M;7;5333;yes
2698;D;Ship;2;4;280;4;low;M;48;1463;yes
2699;A;Ship;5;1;230;6;low;F;60;2067;yes
2700;D;Ship;5;2;174;3;medium;F;10;4902;yes
2701;B;Road;5;1;274;2;high;F;8;4647;yes
2702;C;Flight;4;4;127;5;low;F;16;1955;yes
2703;F;Ship;3;3;152;2;low;M;32;1665;yes
2704;B;Ship;4;2;261;2;medium;M;7;5764;no
2705;C;Ship;3;1;229;3;medium;M;7;5324;yes
2706;A;Ship;5;2;263;6;low;M;2;1851;no
2707;F;Ship;4;5;113;6;medium;M;25;1538;yes
2708;F;Ship;3;4;189;3;high;M;2;5464;no
2709;A;Road;3;1;232;2;medium;M;10;4719;no
2710;D;Flight;2;2;215;5;medium;M;3;5185;yes
2711;D;Ship;2;1;192;3;low;F;9;4774;no
2712;B;Ship;4;2;259;6;medium;M;8;1096;yes
2713;D;Road;3;3;158;3;low;F;2;5205;yes
2714;F;Flight;4;5;159;2;low;M;1;5671;no
2715;B;Ship;4;4;153;3;low;M;13;1402;yes
2716;D;Ship;5;3;250;2;low;F;14;2064;yes
2717;C;Ship;6;1;295;4;low;M;10;1600;no
2718;F;Road;2;2;160;3;medium;F;9;4613;no
2719;F;Ship;4;2;246;3;low;F;1;5815;yes
2720;D;Flight;6;4;290;4;low;F;3;1544;yes
2721;F;Ship;4;1;245;3;low;M;2;5835;yes
2722;D;Ship;6;4;276;4;low;M;4;1662;yes
2723;C;Ship;2;4;152;3;low;M;55;1498;yes
2724;F;Road;4;5;268;6;medium;F;7;4709;no
2725;D;Ship;3;2;181;2;low;F;6;5410;no
2726;D;Road;4;1;189;2;medium;M;4;4122;no
2727;B;Flight;4;2;233;7;medium;M;64;3146;yes
2728;B;Flight;4;2;116;3;low;F;2;5602;yes
2729;F;Ship;5;2;265;3;low;M;10;4347;yes
2730;F;Road;6;4;287;4;medium;F;9;1936;yes
2731;F;Ship;6;4;304;4;low;F;2;1749;no
2732;F;Ship;4;4;176;4;high;F;63;1293;yes
2733;D;Road;4;3;165;2;medium;M;10;4351;no
2734;A;Ship;3;3;143;3;medium;F;16;1343;yes
2735;F;Ship;7;4;295;4;low;M;5;1239;no
2736;F;Flight;4;3;183;3;low;F;6;5712;yes
2737;C;Ship;5;1;170;3;medium;F;60;1883;yes
2738;A;Ship;5;1;182;3;low;M;8;3580;yes
2739;A;Ship;5;4;187;2;medium;F;10;3549;yes
2740;F;Ship;3;1;157;2;high;M;19;1898;yes
2741;C;Ship;5;3;200;8;low;F;9;2741;yes
2742;C;Ship;6;2;255;4;medium;F;3;1355;no
2743;F;Ship;5;5;174;6;medium;F;26;1184;yes
2744;F;Ship;3;5;265;3;medium;M;4;4268;yes
2745;C;Ship;4;2;179;3;low;M;3;5284;no
2746;F;Ship;3;2;136;3;high;F;2;5739;no
2747;D;Road;5;5;207;2;high;M;8;5066;yes
2748;B;Ship;5;4;232;5;medium;F;4;1561;no
2749;F;Ship;5;5;263;5;medium;F;1;1114;yes
2750;F;Flight;5;4;254;3;low;F;4;5611;yes
2751;A;Ship;3;4;213;3;high;M;7;5516;yes
2752;B;Ship;4;3;153;3;medium;M;2;1095;yes
2753;F;Ship;4;2;208;3;low;M;8;4342;no
2754;D;Ship;3;2;177;4;low;F;3;5527;no
2755;F;Ship;5;3;156;3;medium;M;58;1218;yes
2756;C;Ship;3;3;176;3;low;F;1;5168;no
2757;B;Ship;4;4;259;7;medium;M;7;4408;no
2758;F;Ship;3;1;259;2;low;F;3;4380;no
2759;D;Flight;7;5;269;4;medium;M;2;1592;no
2760;C;Ship;4;3;263;3;medium;M;3;4677;no
2761;D;Ship;4;2;185;2;medium;M;4;2212;yes
2762;B;Ship;4;5;264;3;low;F;10;5972;no
2763;B;Ship;4;2;191;2;medium;F;8;4806;yes
2764;A;Ship;3;3;250;3;low;F;33;3463;yes
2765;F;Flight;4;3;181;3;low;F;5;5398;yes
2766;F;Ship;5;1;229;6;low;M;9;1883;yes
2767;D;Ship;4;2;190;6;high;M;5;4139;yes
2768;F;Flight;4;2;251;2;medium;M;24;2405;yes
2769;C;Ship;5;1;126;5;medium;F;2;5659;yes
2770;C;Road;3;5;165;2;high;F;37;1234;yes
2771;A;Ship;4;3;245;5;low;M;7;1182;no
2772;B;Road;3;4;248;2;medium;F;15;2983;yes
2773;B;Road;5;1;238;3;low;M;32;3832;yes
2774;F;Ship;5;1;251;6;low;F;5;1827;no
2775;C;Ship;5;5;158;3;medium;F;47;1246;yes
2776;F;Ship;4;5;147;2;low;M;17;1057;yes
2777;A;Flight;4;2;237;6;low;F;8;5695;no
2778;C;Ship;7;5;293;4;low;F;2;1080;yes
2779;D;Ship;3;5;196;3;medium;F;9;4741;yes
2780;F;Ship;7;1;296;4;low;M;4;1446;no
2781;F;Ship;5;1;190;4;medium;M;24;3446;yes
2782;D;Ship;4;2;210;3;low;M;5;4746;no
2783;C;Ship;3;4;253;3;high;F;8;5857;no
2784;F;Ship;7;1;244;4;low;M;8;1817;yes
2785;C;Ship;5;5;213;2;high;M;12;2522;yes
2786;D;Road;5;2;168;2;low;F;10;5225;yes
2787;B;Ship;3;5;190;3;low;M;9;4468;no
2788;A;Ship;3;4;182;2;medium;M;8;4883;no
2789;B;Flight;6;4;247;4;medium;M;2;1858;yes
2790;C;Ship;3;4;256;3;low;M;7;5013;yes
2791;B;Road;4;2;222;3;low;M;4;5919;no
2792;F;Ship;3;5;169;3;low;F;6;5397;no
2793;F;Ship;4;3;287;4;low;M;6;5889;no
2794;D;Ship;4;1;242;6;low;M;4;1791;yes
2795;A;Ship;4;3;246;2;low;M;6;4908;no
2796;D;Ship;2;5;282;5;low;M;63;1173;yes
2797;B;Ship;5;2;269;5;medium;F;9;1165;no
2798;D;Flight;4;4;215;2;low;F;7;5151;yes
2799;D;Ship;3;3;140;2;medium;M;55;1847;yes
2800;A;Ship;4;5;260;3;medium;M;59;3951;yes
2801;C;Ship;3;3;216;8;medium;M;4;5329;yes
2802;F;Road;3;4;226;2;high;F;8;5793;no
2803;F;Flight;4;5;216;3;low;F;20;3549;yes
2804;D;Ship;6;5;298;4;low;M;3;1009;yes
2805;F;Flight;4;1;195;2;medium;M;19;2878;yes
2806;B;Ship;3;5;247;3;medium;F;7;4966;no
2807;B;Flight;3;5;222;3;low;F;10;5185;yes
2808;F;Road;6;1;259;3;low;F;3;5683;no
2809;D;Flight;4;1;135;4;low;F;5;5934;no
2810;D;Ship;2;3;139;3;low;F;3;1788;yes
2811;A;Flight;3;3;176;3;medium;M;14;1705;yes
2812;B;Road;5;4;180;4;medium;F;7;4200;yes
2813;F;Ship;3;1;194;4;low;M;64;2026;yes
2814;C;Ship;5;2;259;5;low;M;8;1678;no
2815;F;Flight;3;5;106;2;low;F;3;5615;no
2816;D;Flight;4;1;245;3;low;F;9;4024;yes
2817;F;Flight;5;1;248;4;low;F;6;1944;yes
2818;F;Ship;4;2;209;2;medium;F;1;5337;no
2819;F;Ship;3;5;162;3;medium;F;1;4432;no
2820;F;Flight;5;2;231;2;medium;F;55;3894;yes
2821;A;Ship;4;5;178;3;high;M;22;1907;yes
2822;C;Ship;4;2;265;3;low;F;41;3498;yes
2823;F;Road;4;2;190;2;medium;F;1;4020;yes
2824;F;Road;4;3;207;3;medium;F;5;4847;yes
2825;F;Ship;3;3;225;2;medium;M;55;2259;yes
2826;F;Ship;5;2;238;2;low;M;5;5703;no
2827;D;Ship;3;4;206;3;high;M;5;4022;no
2828;F;Ship;6;3;245;5;medium;F;8;5678;yes
2829;C;Ship;4;1;195;3;low;M;43;2849;yes
2830;F;Flight;6;5;245;4;low;F;8;1403;no
2831;F;Road;2;2;150;3;low;F;6;5854;yes
2832;D;Ship;4;4;182;3;high;F;7;5197;no
2833;F;Ship;2;5;167;3;medium;M;8;4605;no
2834;F;Ship;2;4;268;4;low;M;5;4400;yes
2835;A;Ship;6;1;278;2;medium;F;12;2112;yes
2836;A;Ship;3;1;160;2;medium;M;5;4435;yes
2837;F;Ship;5;2;270;4;medium;M;8;1631;yes
2838;F;Ship;4;2;225;8;low;F;8;5623;no
2839;D;Ship;2;3;249;2;low;M;1;2905;yes
2840;C;Ship;3;3;146;2;low;M;50;1486;yes
2841;F;Ship;4;3;212;4;low;M;28;2422;yes
2842;F;Ship;5;1;244;2;low;F;5;4125;yes
2843;A;Ship;3;2;221;2;medium;M;10;4715;yes
2844;F;Ship;4;4;174;2;low;F;11;1577;yes
2845;F;Ship;5;1;139;3;medium;F;1;5953;yes
2846;C;Flight;4;2;237;2;medium;F;6;2965;yes
2847;B;Road;3;2;170;2;low;M;2;4214;yes
2848;A;Ship;5;5;153;5;medium;M;10;5297;no
2849;D;Road;4;1;270;3;medium;F;64;2406;yes
2850;F;Road;6;1;163;4;high;M;3;4031;yes
2851;C;Road;3;5;148;3;low;F;7;5685;no
2852;D;Ship;3;4;134;4;medium;M;53;1887;yes
2853;C;Flight;3;3;149;3;medium;F;3;4189;no
2854;C;Ship;5;4;235;4;low;M;10;4880;no
2855;D;Ship;5;2;246;2;low;F;4;3617;yes
2856;A;Road;5;2;156;4;medium;M;39;1204;yes
2857;B;Road;6;2;289;4;high;F;3;1116;no
2858;D;Road;3;3;117;3;medium;M;56;1618;yes
2859;A;Road;4;1;144;4;high;M;5;1294;yes
2860;D;Ship;6;4;237;5;medium;F;2;5437;yes
2861;F;Flight;5;1;137;5;low;F;8;4584;no
2862;F;Ship;4;3;248;2;medium;F;10;5211;no
2863;A;Road;3;2;175;2;low;M;9;4859;no
2864;A;Ship;6;2;282;4;medium;M;8;1553;no
2865;C;Ship;3;5;256;3;low;M;7;4366;yes
2866;F;Ship;4;5;183;2;low;F;1;4741;no
2867;F;Road;5;2;266;5;medium;M;8;1367;no
2868;B;Ship;4;4;263;2;medium;F;41;3955;yes
2869;D;Flight;4;5;156;3;low;F;60;1553;yes
2870;F;Road;3;1;141;3;medium;F;39;1838;yes
2871;D;Ship;3;5;135;2;medium;F;9;5614;yes
2872;F;Ship;3;4;140;6;low;M;9;4558;no
2873;C;Flight;6;2;152;2;low;F;9;1993;no
2874;C;Ship;3;1;238;2;low;M;9;5158;no
2875;C;Ship;4;3;263;4;medium;M;23;2960;yes
2876;D;Ship;7;5;255;4;low;M;7;1104;no
2877;F;Road;4;3;142;3;low;F;35;1512;yes
2878;F;Road;3;4;190;4;medium;F;7;5963;yes
2879;D;Ship;2;1;197;4;low;M;5;4614;no
2880;F;Road;5;4;208;6;medium;M;8;5098;no
2881;A;Road;3;5;139;2;low;M;2;5839;no
2882;F;Ship;3;5;150;2;low;M;29;1934;yes
2883;C;Ship;4;2;147;4;medium;M;52;1129;yes
2884;C;Ship;4;3;252;2;medium;M;1;2336;yes
2885;B;Flight;5;4;219;5;low;M;5;1867;no
2886;A;Ship;3;2;223;2;low;M;64;3595;yes
2887;D;Ship;4;2;157;4;low;F;6;4964;no
2888;B;Ship;6;3;310;5;low;M;6;1139;no
2889;B;Ship;5;4;208;4;medium;F;8;4116;no
2890;C;Road;5;5;195;4;medium;M;1;4482;no
2891;F;Flight;4;4;225;5;low;F;1;1476;yes
2892;D;Flight;3;5;132;3;low;M;7;4013;yes
2893;A;Ship;4;2;245;3;low;F;5;5226;no
2894;F;Flight;2;1;98;3;low;F;29;1806;yes
2895;B;Ship;4;3;252;4;low;M;2;5226;no
2896;A;Ship;3;3;163;2;medium;F;48;1369;yes
2897;F;Ship;5;5;243;6;medium;F;9;4587;no
2898;D;Flight;6;5;260;4;low;F;2;1221;no
2899;A;Flight;3;3;217;2;high;F;9;5554;yes
2900;F;Ship;5;3;141;2;medium;F;10;4651;no
2901;F;Road;3;2;150;2;low;F;3;4174;no
2902;F;Ship;2;1;121;3;medium;M;25;1124;yes
2903;A;Road;4;5;199;3;low;M;2;4462;no
2904;F;Ship;4;4;256;3;low;F;5;5399;no
2905;F;Flight;4;1;210;2;medium;F;7;3405;yes
2906;D;Ship;4;4;266;2;low;F;2;4290;no
2907;F;Ship;4;3;254;5;low;F;3;1248;no
2908;C;Ship;4;5;144;2;low;M;2;4978;no
2909;D;Ship;3;1;169;2;medium;F;19;1183;yes
2910;D;Ship;3;5;272;2;medium;M;6;4652;no
2911;D;Ship;4;5;244;3;low;M;6;1360;yes
2912;F;Flight;5;1;233;4;high;M;2;4615;yes
2913;B;Ship;3;1;155;3;medium;F;2;5446;no
2914;D;Road;5;2;171;2;low;M;6;4236;no
2915;A;Ship;4;2;272;2;low;F;1;5939;yes
2916;D;Road;4;3;236;2;high;M;23;3123;yes
2917;B;Road;4;1;139;8;medium;M;6;5667;yes
2918;F;Ship;3;3;212;3;medium;F;10;5935;no
2919;D;Ship;6;1;245;4;low;F;10;1606;no
2920;F;Ship;3;1;187;3;medium;M;7;4607;no
2921;B;Ship;3;1;242;6;low;M;10;5493;yes
2922;C;Ship;4;1;153;3;low;F;8;5198;no
2923;D;Ship;2;2;156;3;low;F;5;5628;yes
2924;F;Ship;4;3;136;3;medium;M;20;1531;yes
2925;B;Ship;2;1;192;3;high;M;46;3206;yes
2926;F;Ship;4;4;135;2;low;M;4;4684;no
2927;F;Ship;4;5;222;2;medium;M;2;4425;no
2928;B;Ship;4;2;187;2;medium;M;7;4470;yes
2929;D;Flight;6;1;249;4;medium;M;2;1189;yes
2930;C;Flight;4;3;176;5;low;M;2;5751;yes
2931;B;Ship;5;1;160;3;high;M;2;5141;yes
