тип населенного пункта;численность населения;год рождения;возраст;образование;семейное положение;пол;день рождения;месяц рождения;жили в другом городе;национальность;трудоустройство;удовлетворенность работой;удовлетворенность оплатой;отрасль где работаете;месячная зарплата;были ли в отпуске последние 12 месяцев;удовлетворенность материальным положением;сколько классов закончили;в какой школе учились;вера;получаете пенсию;испытывате чувство одиночества;вес;рост;пульс;размер семьи;вы счастливы?
Областной центр;744995;1981;36;есть диплом о высшем образовании;Живете вместе, но не зарегистрированы;ЖЕНСКИЙ;21;Октябрь;Нет;РУССКИМ(РУССКОЙ);Вы находитесь в отпуске - декретном или по уходу за ребенком до 3-х лет;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;ОБРАЗОВАНИЕ;16000;Нет;И да, и нет;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;63;162;66;1;Да
Областной центр;508887;1956;60;техникум с дипломом;Bдовец (вдова);ЖЕНСКИЙ;29;Сентябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ОБРАЗОВАНИЕ;16000;Да;Не очень удовлетворены;8;В обычной средней школе;ПРАВОСЛАВИЕ;Да;Редко;55;157;66;2;Нет
Областной центр;501169;1958;59;10 и более классов школы и какое-либо професс. обр. с дипломом;Состоите в зарегистрированном браке;ЖЕНСКИЙ;3;Ноябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ОБРАЗОВАНИЕ;16000;Да;Не очень удовлетворены;8;В обычной средней школе;ПРАВОСЛАВИЕ;Да;Практически никогда;76;156;82;4;Да
Областной центр;524669;1988;28;10 и более классов школы и какое-либо професс. обр. с дипломом;Разведены и в браке не состоите;ЖЕНСКИЙ;8;Ноябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;ЛЕГКАЯ, ПИЩЕВАЯ ПРОМЫШЛЕННОСТЬ;17000;Да;Не очень удовлетворены;9;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Редко;46;151;66;5;Да
Город;97384;1989;28;10 и более классов школы и какое-либо професс. обр. с дипломом;Состоите в зарегистрированном браке;ЖЕНСКИЙ;10;Декабрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СТРОИТЕЛЬСТВО;17000;Нет;Скорее удовлетворены;9;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;75;160;79;4;Да
Город;97296;1980;36;1-2 года в высшем учебном заведении;Состоите в зарегистрированном браке;ЖЕНСКИЙ;16;Ноябрь;Нет;НЕМЕЦ(КА);Вы сейчас работаете;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ;20000;Да;Не очень удовлетворены;8;В школе-экстернате;ПРАВОСЛАВИЕ;Нет;Практически никогда;54;165;63;3;Да
Город;97384;1974;43;10 и более классов школы и какое-либо професс. обр. с дипломом;Состоите в зарегистрированном браке;МУЖСКОЙ;16;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ДРУГАЯ ОТРАСЛЬ ТЯЖЕЛОЙ ПРОМЫШЛЕННОСТИ;25000;Да;Не очень удовлетворены;8;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;90;173;66;5;Да
Город;239800;1978;39;есть диплом о высшем образовании;Состоите в зарегистрированном браке;МУЖСКОЙ;18;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СОВСЕМ НЕ УДОВЛЕТВОРЕНЫ;ГРАЖДАНСКОЕ МАШИНОСТРОЕНИЕ;25000;Да;Не очень удовлетворены;9;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Редко;90;183;55;1;Да
Город;26830;1990;27;есть диплом о высшем образовании;Разведены и в браке не состоите;ЖЕНСКИЙ;21;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;ТРАНСПОРТ, СВЯЗЬ;35800;Нет;Скорее удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;55;158;83;4;Да
Город;95854;1960;57;10 и более классов школы и какое-либо професс. обр. с дипломом;Состоите в зарегистрированном браке;МУЖСКОЙ;28;Сентябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;СОВСЕМ НЕ УДОВЛЕТВОРЕНЫ;НЕФТЕГАЗОВАЯ ПРОМЫШЛЕННОСТЬ;46000;Нет;Совсем не удовлетворены;8;В обычной средней школе;ПРАВОСЛАВИЕ;Да;Практически никогда;82;172;65;1;Да
Областной центр;837900;1976;40;есть диплом о высшем образовании;Состоите в зарегистрированном браке;МУЖСКОЙ;12;Ноябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ОРГАНЫ УПРАВЛЕНИЯ;50000;Да;Не очень удовлетворены;9;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;105;182;65;3;Да
Областной центр;4879566;1974;43;аспирантура и т.п. без диплома;Живете вместе, но не зарегистрированы;ЖЕНСКИЙ;19;Ноябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ОБЩЕСТВЕННЫЕ ОРГАНИЗАЦИИ, СОВЕТ ВЕТЕРАНОВ И ПР.;4200;Нет;Скорее удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;79;165;68;3;Да
Город;66508;1988;29;техникум с дипломом;Состоите в зарегистрированном браке;ЖЕНСКИЙ;6;Ноябрь;Да;РУССКИМ(РУССКОЙ);Вы находитесь в отпуске - декретном или по уходу за ребенком до 3-х лет;И ДА, И НЕТ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ОБРАЗОВАНИЕ;6500;Да;И да, и нет;9;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;80;164;64;1;Да
Областной центр;744995;1950;67;среднее образование - есть аттестат о ср. образовании;Разведены и в браке не состоите;ЖЕНСКИЙ;7;Октябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ОБРАЗОВАНИЕ;7000;Да;Не очень удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Да;Редко;50;170;65;5;Да
Село;1477;1988;29;техникум с дипломом;Состоите в зарегистрированном браке;ЖЕНСКИЙ;15;Октябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;СЕЛЬСКОЕ ХОЗЯЙСТВО;13000;Нет;Не очень удовлетворены;9;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;;163;64;2;Да
Село;1093;1967;49;есть диплом о высшем образовании;Состоите в зарегистрированном браке;ЖЕНСКИЙ;15;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ОБРАЗОВАНИЕ;13000;Да;И да, и нет;10;В обычной средней школе;ПРАВОСЛАВИЕ;Да;Практически никогда;70;172;83;3;Да
ПГТ;7387;1964;53;есть диплом о высшем образовании;Разведены и в браке не состоите;ЖЕНСКИЙ;11;Ноябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;ОБРАЗОВАНИЕ;15000;Да;Не очень удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Да;Редко;60;164;56;4;Нет
Областной центр;333606;1982;35;10 и более классов школы и какое-либо професс. обр. с дипломом;Состоите в зарегистрированном браке;МУЖСКОЙ;5;Ноябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ЭНЕРГЕТИЧЕСКАЯ ПРОМЫШЛЕННОСТЬ;16000;Нет;Не очень удовлетворены;9;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Редко;63;168;70;3;Нет
Село;28362;1983;33;есть диплом о высшем образовании;Никогда в браке не состояли;МУЖСКОЙ;1;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СОВСЕМ НЕ УДОВЛЕТВОРЕНЫ;СПОРТ, ТУРИЗМ, РАЗВЛЕЧЕНИЯ;20000;Да;Скорее удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Редко;74;190;72;2;Да
Село;7613;1965;52;техникум с дипломом;Состоите в зарегистрированном браке;ЖЕНСКИЙ;26;Октябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ЭКОЛОГИЯ, ЗАЩИТА ОКРУЖАЮЩЕЙ СРЕДЫ;20000;Да;И да, и нет;10;В обычной средней школе;ПРАВОСЛАВИЕ;Да;Практически никогда;55;152;79;4;Да
Город;61982;1976;41;есть диплом о высшем образовании;Живете вместе, но не зарегистрированы;МУЖСКОЙ;10;Декабрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;СТРОИТЕЛЬСТВО;25000;Да;Не очень удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;91;172;56;5;Да
Город;61982;1960;56;техникум с дипломом;Состоите в зарегистрированном браке;ЖЕНСКИЙ;6;Ноябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ТРАНСПОРТ, СВЯЗЬ;25000;Да;И да, и нет;10;В обычной средней школе;ПРАВОСЛАВИЕ;Да;Практически никогда;76;163;85;4;Нет
Областной центр;4879566;1982;35;10 и более классов школы и какое-либо професс. обр. с дипломом;Состоите в зарегистрированном браке;ЖЕНСКИЙ;3;Октябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СОВСЕМ НЕ УДОВЛЕТВОРЕНЫ;ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ;26500;Да;Совсем не удовлетворены;8;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Редко;75;172;70;5;Да
Село;1093;1979;37;10 и более классов школы и какое-либо професс. обр. с дипломом;Состоите в зарегистрированном браке;МУЖСКОЙ;6;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;АРМИЯ, МВД, ОРГАНЫ БЕЗОПАСНОСТИ;29000;Да;И да, и нет;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;91;170;67;5;Да
Областной центр;12325387;1976;41;10 и более классов школы и какое-либо професс. обр. с дипломом;Состоите в зарегистрированном браке;МУЖСКОЙ;19;Ноябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ЛЕГКАЯ, ПИЩЕВАЯ ПРОМЫШЛЕННОСТЬ;35000;Да;И да, и нет;8;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;77;170;76;2;Да
Город;52817;1969;47;техникум с дипломом;Разведены и в браке не состоите;МУЖСКОЙ;31;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;ЭНЕРГЕТИЧЕСКАЯ ПРОМЫШЛЕННОСТЬ;36000;Да;И да, и нет;8;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Часто;75;176;82;3;Нет
Село;3835;1979;38;10 и более классов школы и какое-либо професс. обр. с дипломом;Состоите в зарегистрированном браке;МУЖСКОЙ;18;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;НЕФТЕГАЗОВАЯ ПРОМЫШЛЕННОСТЬ;50000;Нет;Скорее удовлетворены;9;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;90;175;80;5;Да
Село;2000;1986;31;есть диплом о высшем образовании;Состоите в зарегистрированном браке;МУЖСКОЙ;6;Январь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;ГРАЖДАНСКОЕ МАШИНОСТРОЕНИЕ;50000;Да;Не очень удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;82;180;84;1;Да
Областной центр;524669;1983;34;есть диплом о высшем образовании;Состоите в зарегистрированном браке;ЖЕНСКИЙ;16;Ноябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ЭНЕРГЕТИЧЕСКАЯ ПРОМЫШЛЕННОСТЬ;60000;Да;Не очень удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;61;177;55;1;Да
Областной центр;1253335;1984;33;есть диплом о высшем образовании;Состоите в зарегистрированном браке;МУЖСКОЙ;2;Ноябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;ДРУГАЯ ОТРАСЛЬ ТЯЖЕЛОЙ ПРОМЫШЛЕННОСТИ;70000;Да;И да, и нет;10;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;85;170;58;1;Да
Город;120670;1985;32;есть диплом о высшем образовании;Состоите в зарегистрированном браке;ЖЕНСКИЙ;8;Январь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ТРАНСПОРТ, СВЯЗЬ;90000;Да;И да, и нет;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;80;160;68;1;Нет
Областной центр;973826;1977;40;есть диплом о высшем образовании;Состоите в зарегистрированном браке;МУЖСКОЙ;2;Декабрь;Да;УЗБЕК(ЧКА);Вы сейчас работаете;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;НЕФТЕГАЗОВАЯ ПРОМЫШЛЕННОСТЬ;90000;Да;И да, и нет;11;В школе другого типа;МУСУЛЬМАНСТВО;Нет;Практически никогда;84;186;80;5;Да
Областной центр;12325387;1987;29;аспирантура и т.п. с дипломом;Никогда в браке не состояли;ЖЕНСКИЙ;12;Октябрь;Нет;АЗЕРБАЙДЖАНЕЦ(КА);Вы сейчас работаете;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ЗДРАВООХРАНЕНИЕ;130000;Нет;И да, и нет;11;В обычной средней школе;МУСУЛЬМАНСТВО;Нет;Редко;66;160;57;5;Нет
Село;360;1964;53;10 и более классов школы и какое-либо професс. обр. с дипломом;Состоите в зарегистрированном браке;МУЖСКОЙ;22;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;НАУКА, КУЛЬТУРА;8000;Да;Не очень удовлетворены;8;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;99;182;79;2;Да
Село;3835;1958;59;техникум с дипломом;Разведены и в браке не состоите;МУЖСКОЙ;3;Ноябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;НАУКА, КУЛЬТУРА;8500;Да;И да, и нет;10;В обычной средней школе;НИ К КАКОЙ РЕЛИГИИ;Нет;Редко;85;170;84;5;Да
Областной центр;973826;1983;34;7-9 классов школы (незак. средн) + ПТУ с дипломом;Живете вместе, но не зарегистрированы;ЖЕНСКИЙ;4;Декабрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ОБРАЗОВАНИЕ;10000;Да;Скорее удовлетворены;9;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;89;164;72;1;Да
Село;28362;1964;53;техникум с дипломом;Состоите в зарегистрированном браке;ЖЕНСКИЙ;7;Ноябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;И ДА, И НЕТ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ЛЕГКАЯ, ПИЩЕВАЯ ПРОМЫШЛЕННОСТЬ;11000;Да;Скорее удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Часто;58;154;63;2;Нет
Областной центр;1253335;1957;60;среднее образование - есть аттестат о ср. образовании;Состоите в зарегистрированном браке;МУЖСКОЙ;8;Октябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;ВОЕННО-ПРОМЫШЛЕННЫЙ КОМПЛЕКС;11000;Да;Не очень удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Да;Редко;74;168;74;4;Нет
Город;61982;1987;30;10 и более классов школы и какое-либо професс. обр. с дипломом;Живете вместе, но не зарегистрированы;МУЖСКОЙ;11;Ноябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;И ДА, И НЕТ;И ДА, И НЕТ;ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ;12000;Да;Совсем не удовлетворены;9;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;68;183;82;1;Да
Областной центр;249806;1987;30;10 и более классов школы и какое-либо професс. обр. с дипломом;Живете вместе, но не зарегистрированы;ЖЕНСКИЙ;26;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ;14000;Да;И да, и нет;9;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;63;178;71;4;Да
Село;1201;1966;51;есть диплом о высшем образовании;Состоите в зарегистрированном браке;ЖЕНСКИЙ;1;Ноябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;СЕЛЬСКОЕ ХОЗЯЙСТВО;16000;Да;Не очень удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;80;171;85;1;Да
Областной центр;837900;1990;27;1-2 года в высшем учебном заведении;Живете вместе, но не зарегистрированы;ЖЕНСКИЙ;25;Ноябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;НЕФТЕГАЗОВАЯ ПРОМЫШЛЕННОСТЬ;17000;Нет;Скорее удовлетворены;9;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;81;160;62;3;Да
Город;111843;1974;43;техникум с дипломом;Состоите в зарегистрированном браке;МУЖСКОЙ;1;Ноябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;И ДА, И НЕТ;И ДА, И НЕТ;ТРАНСПОРТ, СВЯЗЬ;18000;Да;Совсем не удовлетворены;9;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Редко;71;165;84;1;Да
Областной центр;744995;1957;59;техникум с дипломом;Bдовец (вдова);ЖЕНСКИЙ;15;Ноябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;СТРОИТЕЛЬСТВО;18000;Да;И да, и нет;10;В обычной средней школе;ПРАВОСЛАВИЕ;Да;Редко;90;164;60;2;Да
Село;7613;1955;62;техникум с дипломом;Состоите в зарегистрированном браке;МУЖСКОЙ;7;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;СТРОИТЕЛЬСТВО;20000;Да;Не очень удовлетворены;10;В обычной средней школе;НИ К КАКОЙ РЕЛИГИИ;Да;Редко;63;168;85;2;Нет
Село;473;1982;35;среднее образование - есть аттестат о ср. образовании;Состоите в зарегистрированном браке;ЖЕНСКИЙ;30;Октябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ГРАЖДАНСКОЕ МАШИНОСТРОЕНИЕ;20000;Да;Не очень удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Редко;78;164;81;3;Да
Село;1201;1973;43;есть диплом о высшем образовании;Состоите в зарегистрированном браке;ЖЕНСКИЙ;15;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;ОБРАЗОВАНИЕ;20000;Да;Скорее удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;100;170;54;2;Да
Областной центр;973826;1972;45;10 и более классов школы и техникум без диплома;Состоите в зарегистрированном браке;ЖЕНСКИЙ;24;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ОБРАЗОВАНИЕ;20000;Да;Не очень удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;93;157;65;5;Нет
Село;2562;1985;32;техникум с дипломом;Состоите в зарегистрированном браке;ЖЕНСКИЙ;19;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;И ДА, И НЕТ;ЗДРАВООХРАНЕНИЕ;20000;Да;Не очень удовлетворены;11;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Редко;64;165;55;5;Да
Областной центр;333606;1963;54;техникум с дипломом;Состоите в зарегистрированном браке;ЖЕНСКИЙ;20;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;ТРАНСПОРТ, СВЯЗЬ;24000;Да;Скорее удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;94;160;54;1;Да
Город;31722;1979;38;есть диплом о высшем образовании;Состоите в зарегистрированном браке;МУЖСКОЙ;30;Сентябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ТРАНСПОРТ, СВЯЗЬ;25000;Да;И да, и нет;11;В гимназии, школе с гимназическими классами;ПРАВОСЛАВИЕ;Нет;Практически никогда;80;181;70;5;Да
Город;95854;1965;52;10 и более классов школы и какое-либо професс. обр. с дипломом;Состоите в зарегистрированном браке;МУЖСКОЙ;7;Ноябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;И ДА, И НЕТ;И ДА, И НЕТ;ВОЕННО-ПРОМЫШЛЕННЫЙ КОМПЛЕКС;25000;Да;Скорее удовлетворены;8;В обычной средней школе;ПРАВОСЛАВИЕ;Да;Практически никогда;88;178;73;3;Нет
Город;52817;1972;45;10 и более классов школы и какое-либо професс. обр. с дипломом;Состоите в зарегистрированном браке;МУЖСКОЙ;9;Ноябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;ДРУГАЯ ОТРАСЛЬ ТЯЖЕЛОЙ ПРОМЫШЛЕННОСТИ;25000;Нет;Не очень удовлетворены;8;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;88;182;76;5;Да
Город;95854;1975;42;техникум с дипломом;Живете вместе, но не зарегистрированы;МУЖСКОЙ;21;Октябрь;Нет;РУССКИМ(РУССКОЙ);Вы сейчас работаете;СКОРЕЕ УДОВЛЕТВОРЕНЫ;СКОРЕЕ НЕ УДОВЛЕТВОРЕНЫ;АРМИЯ, МВД, ОРГАНЫ БЕЗОПАСНОСТИ;26000;Да;Не очень удовлетворены;8;В обычной средней школе;ПРАВОСЛАВИЕ;Нет;Практически никогда;90;187;58;2;Да
Областной центр;744995;1959;58;есть диплом о высшем образовании;Состоите в зарегистрированном браке;ЖЕНСКИЙ;31;Октябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;СКОРЕЕ УДОВЛЕТВОРЕНЫ;ЖИЛИЩНО-КОММУНАЛЬНОЕ ХОЗЯЙСТВО;26000;Да;Не очень удовлетворены;10;В обычной средней школе;ПРАВОСЛАВИЕ;Да;Практически никогда;115;174;58;4;Нет
ПГТ;3500;1961;56;есть диплом о высшем образовании;Состоите в зарегистрированном браке;МУЖСКОЙ;12;Ноябрь;Да;РУССКИМ(РУССКОЙ);Вы сейчас работаете;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;ПОЛНОСТЬЮ УДОВЛЕТВОРЕНЫ;ЖИЛИЩНО-КОММУНАЛЬНОЕ ХОЗЯЙСТВО;29800;Да;Не очень удовлетворены;10;В обычной средней школе;МУСУЛЬМАНСТВО;Нет;Практически никогда;107;185;58;4;Да
